,round,newround.time,choice.time,buttonpress.time,conf.time,reveal.time,choice.location,choice.class,outcome,subject,bad_trial,Safe.Bet.Amount,Risky.Bet.Amount,Risky.bet.shown.number,Risky.bet.hidden.number,Risky.Side
164,165,591.769,592.5350001,593.566,593.582,594.0970001000001,Left,Gamble,Win,1,0,10,25,2,7,Left
165,166,595.1129999,595.878,597.0970001000001,597.1129999,597.628,Right,Gamble,Loss,1,0,10,15,8,2,Right
166,167,598.644,599.4100001,600.941,600.957,601.4720001000001,Left,Gamble,Loss,1,0,10,25,8,5,Left
167,168,602.4879999,603.253,604.4879999,604.519,605.0350001,Left,Gamble,Loss,1,0,10,20,5,3,Left
168,169,606.0499999,606.816,608.644,608.6600001,609.191,Right,Safebet,WouldHaveLost,1,0,10,15,7,0,Left
169,170,610.207,610.9720001000001,611.9100001,611.9249999,612.441,Left,Gamble,Win,1,0,10,20,2,7,Left
170,171,613.457,614.2220001000001,614.9879999,615.003,615.519,Left,Gamble,Loss,1,0,10,25,7,3,Left
171,172,616.5350001,617.2999999,618.566,618.582,619.0970001000001,Right,Safebet,WouldHaveWon,1,0,10,25,8,10,Left
173,174,623.707,624.4720001000001,626.191,626.2220001000001,626.7379999,Right,Safebet,WouldHaveWon,1,0,10,20,5,7,Left
174,175,627.753,628.519,629.769,629.7850001,630.2999999,Right,Gamble,Win,1,0,10,25,0,7,Right
175,176,631.316,632.082,632.8629999,632.878,633.394,Left,Gamble,Win,1,0,10,30,3,9,Left
176,177,634.4100001,635.1749999,636.3629999,636.378,636.9100001,Right,Gamble,Win,1,0,10,25,4,7,Right
177,178,637.9249999,638.691,639.6129999,639.628,640.144,Left,Safebet,WouldHaveLost,1,0,10,30,9,0,Right
178,179,641.1600001,641.9249999,643.1749999,643.191,643.707,Right,Safebet,WouldHaveWon,1,0,10,20,5,8,Left
179,180,644.7220001000001,645.4879999,646.2850001,646.2999999,646.816,Right,Gamble,Win,1,0,10,15,1,7,Right
181,182,651.332,652.0970001000001,653.2379999,653.253,653.769,Left,Gamble,Win,1,0,10,30,6,8,Left
182,183,654.7850001,655.5499999,656.6129999,656.628,657.1439999999999,Right,Gamble,Win,1,0,10,20,2,9,Right
183,184,658.1600001,658.9249999,659.691,659.707,660.2379999,Right,Gamble,Win,1,0,10,25,2,6,Right
184,185,661.253,662.0189999999999,663.1129999,663.128,663.6439999999999,Right,Gamble,Win,1,0,10,15,1,3,Right
185,186,664.6600001,665.4249999,666.8939999999999,666.9100001,667.4249999,Left,Safebet,WouldHaveLost,1,0,10,20,3,2,Right
186,187,668.441,669.207,670.191,670.2220001000001,670.7379999,Left,Gamble,Win,1,0,10,25,0,7,Left
187,188,671.753,672.5189999999999,673.191,673.2220001000001,673.7379999,Left,Gamble,Win,1,0,10,30,1,9,Left
188,189,674.753,675.5189999999999,676.691,676.707,677.2379999,Left,Gamble,Win,1,0,10,25,5,10,Left
189,190,678.253,679.0189999999999,679.941,679.957,680.4720001000001,Right,Safebet,WouldHaveLost,1,0,10,30,10,8,Left
190,191,681.4879999,682.253,683.5970001000001,683.6129999,684.128,Left,Safebet,WouldHaveLost,1,0,10,20,8,3,Right
191,192,685.1439999999999,685.9100001,686.7220001000001,686.7379999,687.2689999999999,Left,Gamble,Loss,1,0,10,20,5,0,Left
192,193,688.2850001,689.0499999,689.7379999,689.753,690.2850001,Left,Gamble,Win,1,0,10,30,1,5,Left
193,194,691.2999999,692.066,693.0350001,693.0499999,693.566,Left,Gamble,Loss,1,0,10,15,6,3,Left
194,195,694.582,695.3470001000001,696.3470001000001,696.3629999,696.878,Right,Gamble,Win,1,0,10,25,1,8,Right
195,196,697.8939999999999,698.6600001,700.1749999,700.191,700.707,Left,Gamble,Win,1,0,10,15,6,9,Left
196,197,701.7220001000001,702.4879999,703.378,703.3939999999999,703.9100001,Left,Gamble,Win,1,0,10,15,4,5,Left
197,198,704.9249999,705.691,706.816,706.832,707.3629999,Left,Gamble,Win,1,0,10,20,5,7,Left
198,199,708.378,709.1439999999999,710.0970001000001,710.1129999,710.6439999999999,Right,Gamble,Win,1,0,10,15,0,7,Right
199,200,711.6600001,712.4249999,713.503,713.5189999999999,714.0350001,Left,Safebet,WouldHaveLost,1,0,10,20,10,9,Right
1,2,62.27700015,63.04200002,64.062,64.08300014,64.60700007,Left,Gamble,Win,2,0,10,20,4,5,Left
2,3,65.62900015,66.39400002,67.12600013,67.14600011,67.67200013,Right,Gamble,Win,2,0,10,25,7,8,Right
3,4,68.69300004,69.45900007,70.45600005,70.47600003,70.99999996,Left,Gamble,Win,2,0,10,30,1,4,Left
4,5,72.02100011,72.78599998,73.67099997,73.69200011,74.21800014,Right,Safebet,WouldHaveLost,2,0,10,25,6,1,Left
7,8,82.18500014,82.94900008,83.93600007,83.95600005,84.48100015,Right,Safebet,WouldHaveLost,2,0,10,20,7,2,Left
8,9,85.50200006,86.26700016,87.44000002,87.46,87.98600002,Left,Safebet,WouldHaveLost,2,0,10,25,9,6,Right
9,10,89.006,89.77000018,90.78300019,90.8040001,91.32800003,Left,Gamble,Win,2,0,10,30,3,8,Left
10,11,92.34900018,93.11400004,94.15099998,94.17099997,94.69600006,Right,Safebet,WouldHaveWon,2,0,10,20,6,9,Left
12,13,98.74400016,99.50900002,100.4510002,100.47100019999999,100.9970002,Right,Safebet,WouldHaveLost,2,0,10,15,7,4,Left
13,14,102.01899999999999,102.786,104.454,104.47400019999999,104.999,Right,Gamble,Win,2,0,10,25,4,5,Right
14,15,106.02000020000001,106.786,107.90100000000001,107.92200009999999,108.447,Left,Gamble,Loss,2,0,10,15,4,3,Left
15,16,109.46900009999999,110.23400020000001,111.2810001,111.3010001,111.82700009999999,Right,Safebet,WouldHaveLost,2,0,10,15,8,3,Left
16,17,112.848,113.61399999999999,114.77000020000001,114.79000020000001,115.3160002,Left,Gamble,Loss,2,0,10,20,4,1,Left
17,18,116.338,117.1040001,118.21400020000002,118.23400020000001,118.759,Left,Safebet,WouldHaveLost,2,0,10,20,8,7,Right
18,19,119.7800002,120.546,122.23400020000001,122.2540001,122.7800002,Left,Safebet,WouldHaveLost,2,0,10,20,6,2,Right
19,20,123.8010001,124.5660002,125.5990002,125.6200001,126.14500020000001,Right,Gamble,Win,2,0,10,15,2,9,Right
20,21,127.167,127.9320001,128.8490002,128.86900020000002,129.394,Left,Gamble,Win,2,0,10,15,2,8,Left
21,22,130.414,131.1790001,132.56799999999998,132.58900020000002,133.114,Left,Gamble,Win,2,0,10,20,0,2,Left
22,23,134.1360001,134.901,136.2080001,136.2280001,136.75400009999998,Left,Safebet,WouldHaveLost,2,0,10,25,10,5,Right
23,24,137.7750001,138.5410001,139.457,139.4780001,140.0010001,Left,Gamble,Win,2,0,10,30,2,4,Left
24,25,141.023,141.7880001,143.256,143.27700019999997,143.80200000000002,Right,Gamble,Loss,2,0,10,20,5,3,Right
25,26,144.8230002,145.588,146.595,146.61600009999998,147.14200019999998,Left,Safebet,WouldHaveWon,2,0,10,15,8,9,Right
26,27,148.1630001,148.92800019999999,150.3170001,150.33700009999998,150.861,Left,Gamble,Loss,2,0,10,25,8,2,Left
27,28,151.8830001,152.6490001,153.77200000000002,153.7930002,154.31799999999998,Left,Safebet,WouldHaveWon,2,0,10,25,7,9,Right
28,29,155.3390002,156.105,157.4780001,157.49800009999998,158.0250001,Left,Safebet,WouldHaveLost,2,0,10,15,10,2,Right
29,30,159.046,159.81300019999998,160.89000009999998,160.911,161.4360001,Right,Gamble,Loss,2,0,10,20,1,0,Right
30,31,162.45600009999998,163.22400019999998,164.61600009999998,164.637,165.1620001,Left,Safebet,WouldHaveLost,2,0,10,15,6,1,Right
31,32,166.18099999999998,166.9480002,168.25900000000001,168.27900000000002,168.8040001,Right,Gamble,Win,2,0,10,15,5,6,Right
32,33,169.825,170.592,172.092,172.11200019999998,172.6390001,Right,Safebet,WouldHaveLost,2,0,10,25,9,7,Left
33,34,173.6590001,174.42600009999998,175.81799999999998,175.8390002,176.365,Left,Safebet,WouldHaveLost,2,0,10,25,9,7,Right
34,35,177.3860001,178.15099999999998,179.24700019999997,179.26700019999998,179.792,Left,Gamble,Loss,2,0,10,20,5,2,Left
